Unique ID,Timestamp,Accuracy,Score Beat Target
1,2023-11-08 15:05:32,85.0,No
1,2023-11-08 16:35:15,87.0,No
1,2023-11-08 17:12:10,89.5,Yes
2,2023-11-06 09:10:45,72.0,No
2,2023-11-08 16:14:25,75.2,No
3,2023-11-05 11:32:40,88.0,No
3,2023-11-05 17:01:22,89.5,Yes
3,2023-11-06 12:24:30,90.1,Yes
4,2023-11-07 14:58:21,65.3,No
5,2023-11-07 10:02:13,90.0,Yes
7,2023-11-06 08:34:23,82.0,No
7,2023-11-07 11:05:49,85.4,Yes
8,2023-11-05 19:32:53,69.0,No
9,2023-11-06 09:55:12,80.0,No
9,2023-11-07 10:25:20,81.0,No
9,2023-11-08 11:04:25,82.1,No
10,2023-11-06 15:42:31,67.0,No
